Title,Date
"Agatha Christie: Las Siete Esferas: A Bundle con amor","4/15/26"
"Emergencia radiactiva: Tienen que confiar en alguien","4/15/26"
"Emergencia radiactiva: Siempre tenemos una opción","4/15/26"
"Emergencia radiactiva: ¿Estamos bebiendo agua contaminada?,""4/11/26"
"Emergencia radiactiva: ¿Cuándo podremos volver a casa?,""4/11/26"""
"Emergencia radiactiva: Un desastre como Brasil nunca ha visto,""4/10/26"""
"Peaky Blinders: El hombre inmortal,""3/21/26"""
"Los dinosaurios: La conquista,""3/11/26"""
"Peaky Blinders: Temporada 1: Episodio 2,""3/11/26"""
"La vida en nuestro planeta: Capítulo 2: La primera frontera,""3/10/26"""
"Los dinosaurios: El ascenso,""3/9/26"""
"Cortafuego,""3/8/26"""
"En fuga: Miniserie: Por siempre la verdad brillante,""1/20/26"""
"En fuga: Miniserie: Otra época,""1/19/26"""
"En fuga: Miniserie: La última gota,""1/19/26"""
"En fuga: Miniserie: Tatuajes mientras esperas,""1/18/26"""
"En fuga: Miniserie: Ver para creer,""1/18/26"""
"Stranger Things: Stranger Things 5: Capítulo ocho: Este Lado,""1/1/26"""
"Stranger Things: Stranger Things 5: Capítulo siete: El puente,""12/29/25"""
"Stranger Things: Stranger Things 5: Capítulo seis: La huida de Camazotz,""12/29/25"""
"Stranger Things: Stranger Things 5: Capítulo cinco: Electrochoque,""12/28/25"""
"Stranger Things: Stranger Things 5: Capítulo cuatro: Hechicero,""12/7/25"""
"Stranger Things: Stranger Things 5: Capítulo tres: La trampa de Turnbow,""12/2/25"""
"Stranger Things: Stranger Things 5: Capítulo Dos: La Desaparición de Holly Wheeler,""12/1/25"""
"Stranger Things: Stranger Things 5: Capítulo uno: La misión,""12/1/25"""
"En el barro: Temporada 1: Episodio 3,""8/17/25"""
"En el barro: Temporada 1: Episodio 1,""8/17/25"""
"Black Mirror: Temporada 7: Una pareja cualquiera,""4/17/25"""
"Adolescencia: Miniserie: Episodio 4,""4/17/25"""
"Adolescencia: Miniserie: Episodio 3,""4/16/25"""
"Adolescencia: Miniserie: Episodio 1,""4/7/25"""
"Adolescencia: Miniserie: Episodio 2,""4/5/25"""
"Cobra Kai: Temporada 6: As recuperado,""3/7/25"""
"Cobra Kai: Temporada 6: Golpear último,""2/24/25"""
"Cobra Kai: Temporada 6: Fantasmas,""2/22/25"""
"Cobra Kai: Temporada 6: Fuera de sí,""2/22/25"""
"Cobra Kai: Temporada 6: Prueba de fuego,""2/15/25"""
"El juego del calamar: Temporada 2: 001,""1/19/25"""
"El juego del calamar: Temporada 2: Fiesta de Halloween,""1/19/25"""
"El Slam de Netflix,""1/19/25"""
"Supercool,""1/18/25"""
"El juego del calamar: Temporada 2: Sustento y azar,""1/13/25"""
"Cobra Kai: Temporada 1: As degenerado,""1/5/25"""
"Cobra Kai: Temporada 6: Eunjangdo,""1/5/25"""
"Cobra Kai: Temporada 6: Sangre por sangre,""1/1/25"""
"Cobra Kai: Temporada 6: Sospechas en el aire,""1/1/25"""
"Cobra Kai: Temporada 6: Pelear a cara de perro,""1/1/25"""
"Cobra Kai: Temporada 6: Benvinguts a Barcelona,""12/30/24"""
"Cobra Kai: Temporada 6: Lo mejor de lo mejor,""12/29/24"""
"Cobra Kai: Temporada 6: Subestimados,""12/29/24"""
"Cobra Kai: Temporada 6: Pijamada,""12/28/24"""
"Cobra Kai: Temporada 6: El premio,""12/28/24"""
"Equipaje de mano,""12/28/24"""
"Cobra Kai: Temporada 6: Tiempos de paz,""12/28/24"""
"Luz negra,""12/23/24"""
"La Palma: Miniserie: Punto seguro,""12/20/24"""
"La Palma: Miniserie: A Tenerife,""12/20/24"""
"La Palma: Miniserie: Despegue,""12/19/24"""
"La Palma: Miniserie: El pastorcito mentiroso,""12/19/24"""
"No respires 2,""8/11/24"""
"Asesinato para principiantes: Temporada 1: Episodio 6,""8/8/24"""
"Asesinato para principiantes: Temporada 1: Episodio 5,""8/8/24"""
"Asesinato para principiantes: Temporada 1: Episodio 4,""8/6/24"""
"Asesinato para principiantes: Temporada 1: Episodio 3,""8/6/24"""
"Asesinato para principiantes: Temporada 1: Episodio 2,""8/5/24"""
"Asesinato para principiantes: Temporada 1: Episodio 1,""8/5/24"""
"Una esposa de mentira,""8/2/24"""
"Sin Hijos,""7/28/24"""
"Mamá se fue de viaje,""7/22/24"""
"Footloose,""7/13/24"""
"Un detective suelto en Hollywood: Axel F.,""7/8/24"""
"Eric: Miniserie: Episodio 1,""6/7/24"""
"Bebé reno: Miniserie: Episodio 7,""5/15/24"""
"Bebé reno: Miniserie: Episodio 6,""5/15/24"""
"Bebé reno: Miniserie: Episodio 5,""5/14/24"""
"Bebé reno: Miniserie: Episodio 4,""5/14/24"""
"Bebé reno: Miniserie: Episodio 3,""5/13/24"""
"Bebé reno: Miniserie: Episodio 2,""5/12/24"""
"Todo un hombre: Miniserie: El día del juicio,""5/12/24"""
"Nadie,""5/12/24"""
"Todo un hombre: Miniserie: La hora de la verdad,""5/10/24"""
"Todo un hombre: Miniserie: Tic, tac,""5/10/24"""
"Bebé reno: Miniserie: Episodio 1,""5/10/24"""
"Cuatro días más,""5/10/24"""
"Todo un hombre: Miniserie: La ruina,""5/6/24"""
"Todo un hombre: Miniserie: Una derrota aplastante,""5/6/24"""
"Todo un hombre: Miniserie: Alforjas,""5/6/24"""
"Descansar en paz,""5/4/24"""
"Hotel Mumbai: El atentado,""5/4/24"""
"Nimona,""3/14/24"""
"Damsel,""3/12/24"""
"Venganza implacable,""3/11/24"""
"Alejandro Magno: La creación de un dios: El joven rey,""3/11/24"""
"ARA San Juan: El submarino que desapareció: Miniserie: El silencio,""3/8/24"""
"Fractura,""3/1/24"""
"Avatar: La leyenda de Aang: Avatar: la leyenda de Aang: Libro 3: Sozin's Comet: Parte 4: Avatar Aang,""3/1/24"""
"Avatar: La leyenda de Aang: Avatar: la leyenda de Aang: Libro 3: Sozin's Comet: Parte 3: Into the Inferno,""2/28/24"""
"Avatar: La leyenda de Aang: Avatar: la leyenda de Aang: Libro 3: Los maestros del Fuego control,""2/28/24"""
"Avatar: La leyenda de Aang: Avatar: la leyenda de Aang: Libro 2: La encrucijada del destino,""2/28/24"""
"Avatar: La leyenda de Aang: Temporada 1: Leyendas,""2/28/24"""
"Avatar: La leyenda de Aang: Temporada 1: El norte,""2/27/24"""
